transformer_id,substation_id,region,avg_load_percent,avg_temperature_c,avg_voltage_kv,avg_power_factor,avg_risk_score,max_risk_score,distinct_anomaly_types,total_faults
TR-029018,SUB-029,North,90.37,62.79,39.46,0.76,93.26,100,7,10
TR-029017,SUB-029,North,89.75,61.45,39.48,0.78,91.55,100,4,5
TR-001002,SUB-001,North,88.64,62.65,39.69,0.74,93.45,100,9,12
TR-001003,SUB-001,North,87.45,62.07,40.93,0.74,93.11,100,8,34
TR-001004,SUB-001,North,88.0,60.81,39.24,0.78,92.1,100,6,15
TR-028020,SUB-028,Central,92.63,64.35,39.0,0.71,95.86,100,5,7
TR-028018,SUB-028,Central,89.43,61.35,40.83,0.74,91.67,100,7,8
TR-028017,SUB-028,Central,88.38,61.91,40.3,0.76,93.08,100,3,6
TR-028016,SUB-028,Central,88.11,62.2,40.03,0.76,92.69,100,9,16
TR-028013,SUB-028,Central,88.06,62.3,39.93,0.75,93.65,100,8,31
TR-028011,SUB-028,Central,88.5,62.08,39.87,0.74,94.8,100,9,47
TR-028010,SUB-028,Central,89.52,61.97,40.26,0.75,92.07,100,6,9
TR-028009,SUB-028,Central,87.9,63.48,39.33,0.74,93.31,100,7,12
TR-028008,SUB-028,Central,88.42,62.53,39.76,0.74,93.6,100,9,25
TR-028004,SUB-028,Central,87.77,61.6,40.4,0.76,92.13,100,8,12
TR-002018,SUB-002,North,89.24,61.45,40.57,0.75,93.05,100,6,15
TR-002012,SUB-002,North,88.42,62.16,39.63,0.75,92.53,100,6,19
TR-002011,SUB-002,North,89.96,62.11,41.1,0.75,93.41,100,8,11
TR-002009,SUB-002,North,87.69,61.45,39.64,0.73,92.25,100,7,10
TR-002008,SUB-002,North,88.63,60.42,41.69,0.77,90.46,100,6,6
TR-002003,SUB-002,North,87.5,61.97,40.39,0.75,92.0,100,7,19
TR-028002,SUB-028,Central,88.95,62.51,40.43,0.76,92.92,100,6,18
TR-027020,SUB-027,North-East,89.95,61.39,40.66,0.74,91.43,100,6,4
TR-027017,SUB-027,North-East,89.17,61.81,40.57,0.75,93.5,100,5,7
TR-027014,SUB-027,North-East,89.73,62.16,40.06,0.74,93.0,100,4,7
TR-027012,SUB-027,North-East,87.84,60.18,40.5,0.77,91.1,100,4,4
TR-027010,SUB-027,North-East,87.18,61.0,37.97,0.75,92.62,100,4,5
