hour_of_day,total_power_mw,avg_load_percent,avg_temperature_c,avg_energy_generated_mwh,avg_energy_consumed_mwh,total_faults,record_count,avg_risk_score
0,8547.26,42.82,46.01,1.3,1.32,287,6351,35.55
1,8437.38,43.29,46.14,1.18,1.0,308,6229,36.14
2,8466.7,43.5,46.21,1.31,1.51,328,6229,36.51
3,8537.11,43.33,46.14,1.81,1.12,367,6299,36.3
4,8576.36,43.43,46.19,1.58,1.51,323,6300,36.36
5,8359.72,43.14,46.07,0.55,0.67,321,6170,36.07
6,10441.9,52.22,47.03,2.13,1.74,331,6319,42.75
7,11830.46,58.29,47.57,2.19,1.73,292,6391,47.48
8,12257.64,62.63,47.96,1.61,2.31,317,6176,50.54
9,12895.05,66.08,48.65,2.8,1.75,325,6195,53.73
10,13005.02,66.5,48.52,2.15,2.27,305,6220,53.53
11,13118.87,67.28,48.77,2.69,2.16,318,6215,54.46
12,13142.79,67.01,48.65,1.53,2.21,287,6247,53.98
13,13056.14,67.14,48.74,1.87,2.4,317,6214,54.29
14,13071.3,66.89,48.69,1.98,2.36,316,6239,54.2
15,12797.55,65.52,48.5,2.32,2.14,313,6216,53.0
16,12395.49,63.03,48.07,2.07,2.08,327,6199,51.08
17,11484.17,58.52,47.73,2.53,1.42,342,6198,47.96
18,10538.58,52.69,47.23,0.9,2.28,350,6321,43.55
19,8308.11,43.13,46.1,2.46,1.44,319,6154,36.0
20,8517.94,43.25,46.11,1.35,0.94,310,6284,36.14
21,8510.66,43.15,46.09,2.72,1.79,338,6279,36.09
22,8510.92,42.93,45.99,1.05,1.6,313,6304,35.72
23,8482.59,43.27,46.15,0.79,1.84,333,6251,36.27
