event_id,timestamp,region,substation_id,transformer_id,latitude,longitude,voltage_kv,current_amp,power_mw,frequency_hz,load_percent,power_factor,temperature_c,energy_generated_mwh,energy_consumed_mwh,outage_duration_min,communication_latency_ms,fault_indicator,anomaly_score,risk_score,status,anomaly_type,ingestion_time,ingestion_batch,voltage_deviation_kv,frequency_deviation_hz,power_quality_score,voltage_stability_score,calculated_power_mw,transmission_efficiency,load_percent_zscore,temperature_c_zscore,power_mw_zscore,transformation_time,silver_version,anomaly_flag,hour_of_day,date
EVT-0059826,2025-06-28 23:58:36.270729,North,SUB-029,TR-029013,26.9124,75.7873,39.59,13.56,0.5,49.97,22.89,0.939,39.32,-7.59,14.62,0.0,5.09,0,0.0216,6,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-0.41,-0.03,84.7,98.0,0.5,-51.9,-1.377,-1.028,-1.819,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0116194,2025-06-28 23:54:35.681425,East,SUB-012,TR-012001,23.2599,77.4126,36.45,48.9,1.59,49.83,58.0,0.8898,50.0,-50.5,-10.59,0.0,3.93,0,0.1797,57,Warning,Voltage Fluctuation,2026-09-05T19:42:40.361482,batch_001,-3.55,-0.17,72.5,82.2,1.59,476.9,0.193,0.362,-0.151,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0006666,2025-06-28 23:54:03.849807,North,SUB-024,TR-024010,26.7461,78.9824,40.64,23.91,0.92,49.9,23.85,0.9421,39.42,-18.8,4.6,0.0,1.04,0,0.0457,9,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.64,-0.1,85.5,96.8,0.92,-408.7,-1.334,-1.015,-1.177,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0125226,2025-06-28 23:51:22.578203,East,SUB-023,TR-023006,21.2787,82.1406,43.18,57.55,2.12,49.79,58.0,0.8542,50.0,40.87,23.8,0.0,24.84,0,0.1845,59,Warning,Generation Drop,2026-09-05T19:42:40.361482,batch_001,3.18,-0.21,63.6,84.1,2.12,171.7,0.193,0.362,0.66,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0140677,2025-06-28 23:50:35.895690,East,SUB-012,TR-012002,23.2599,77.4126,40.58,12.11,0.48,50.03,16.95,0.9864,38.39,-4.83,25.64,0.0,11.93,0,0.0296,6,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.58,0.03,96.6,97.1,0.48,-18.8,-1.642,-1.149,-1.85,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0115879,2025-06-28 23:49:51.442679,Central,SUB-015,TR-015015,25.3948,79.4625,41.0,15.37,0.58,50.01,15.49,0.9253,38.62,-4.47,13.24,0.0,1.69,0,0.0417,8,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,1.0,0.01,81.3,95.0,0.58,-33.8,-1.707,-1.119,-1.697,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0038060,2025-06-28 23:49:48.255014,West,SUB-025,TR-025015,24.4781,73.3114,37.23,56.51,1.84,50.25,58.0,0.8751,50.0,-33.03,-45.03,0.0,19.86,0,0.1697,60,Warning,Frequency Deviation,2026-09-05T19:42:40.361482,batch_001,-2.77,0.25,68.8,86.2,1.84,73.4,0.193,0.362,0.232,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0132449,2025-06-28 23:48:56.620561,North,SUB-029,TR-029019,26.9124,75.7873,39.89,32.43,1.18,49.99,32.37,0.9109,38.94,11.75,-24.41,0.0,4.14,0,0.0058,9,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-0.11,-0.01,77.7,99.4,1.18,-48.1,-0.953,-1.077,-0.779,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0125850,2025-06-28 23:48:42.851477,Central,SUB-015,TR-015013,25.3948,79.4625,39.04,13.48,0.51,49.99,15.0,0.9704,38.66,-26.75,37.18,0.0,2.75,0,0.0405,10,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-0.96,-0.01,92.6,95.2,0.51,-71.9,-1.729,-1.114,-1.804,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0001544,2025-06-28 23:48:29.194740,East,SUB-013,TR-013008,21.1466,79.0882,40.04,18.37,0.69,50.03,20.11,0.9391,36.61,37.67,-29.03,0.0,6.06,0,0.0083,0,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.04,0.03,84.8,99.8,0.69,-129.8,-1.501,-1.381,-1.529,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0045321,2025-06-28 23:48:17.051587,South,SUB-026,TR-026009,17.3618,78.531,42.56,51.16,1.85,49.75,58.0,0.8477,50.0,-28.09,15.17,0.0,30.73,0,0.1692,55,Warning,Communication Failure,2026-09-05T19:42:40.361482,batch_001,2.56,-0.25,61.9,87.2,1.85,-185.2,0.193,0.362,0.247,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0120787,2025-06-28 23:47:55.108558,East,SUB-023,TR-023018,21.2787,82.1406,39.0,20.68,0.75,50.01,15.23,0.932,38.48,-71.0,5.53,0.0,2.85,0,0.0416,8,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-1.0,0.01,83.0,95.0,0.75,-1283.9,-1.719,-1.137,-1.437,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0014262,2025-06-28 23:47:20.829561,East,SUB-023,TR-023020,21.2787,82.1406,39.0,19.86,0.74,50.09,24.02,0.9507,38.63,30.77,13.43,0.0,5.81,0,0.0587,15,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-1.0,0.09,87.7,95.0,0.74,229.1,-1.326,-1.118,-1.452,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0135739,2025-06-28 23:46:49.887949,West,SUB-025,TR-025016,24.4781,73.3114,41.0,17.35,0.64,50.02,23.53,0.9,39.6,-1.91,8.09,0.0,1.42,0,0.0443,7,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,1.0,0.02,75.0,95.0,0.64,-23.6,-1.348,-0.992,-1.605,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0062298,2025-06-28 23:46:46.481719,West,SUB-019,TR-019006,22.3167,78.03,43.03,49.09,1.83,49.79,58.0,0.8648,50.0,53.45,7.94,0.0,20.79,0,0.1745,55,Warning,Generation Drop,2026-09-05T19:42:40.361482,batch_001,3.03,-0.21,66.2,84.8,1.83,673.2,0.193,0.362,0.216,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0003007,2025-06-28 23:46:05.581280,South,SUB-008,TR-008016,13.0827,80.2707,40.39,17.84,0.68,50.0,16.51,0.9368,37.67,-6.98,35.32,0.0,2.61,0,0.0158,5,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.39,0.0,84.2,98.0,0.68,-19.8,-1.662,-1.243,-1.544,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0103946,2025-06-28 23:45:59.264995,East,SUB-011,TR-011005,22.5726,88.3639,43.0,51.85,1.9,49.82,58.0,0.8542,50.0,26.43,-18.18,0.0,24.53,0,0.1715,54,Warning,Generation Drop,2026-09-05T19:42:40.361482,batch_001,3.0,-0.18,63.6,85.0,1.9,-145.4,0.193,0.362,0.324,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0039221,2025-06-28 23:45:06.580287,South,SUB-009,TR-009010,17.385,78.4867,42.49,48.98,1.87,49.79,58.0,0.9,50.0,-73.28,-0.17,0.0,3.83,0,0.1422,54,Warning,Transformer Fault,2026-09-05T19:42:40.361482,batch_001,2.49,-0.21,75.0,87.6,1.87,43105.9,0.193,0.362,0.278,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0040294,2025-06-28 23:44:41.282027,North-East,SUB-018,TR-018008,29.0588,76.0231,36.07,68.02,1.37,50.39,85.0,0.56,65.95,118.61,7.19,0.0,18.55,0,0.5653,93,Critical,Frequency Deviation,2026-09-05T19:42:40.361482,batch_001,-3.93,0.39,-10.0,80.4,1.37,1649.7,1.4,2.438,-0.488,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0145502,2025-06-28 23:42:54.925863,East,SUB-013,TR-013016,21.1466,79.0882,37.68,64.31,2.09,50.25,58.0,0.8617,50.0,-21.51,9.69,0.0,7.97,0,0.1547,58,Warning,Voltage Fluctuation,2026-09-05T19:42:40.361482,batch_001,-2.32,0.25,65.4,88.4,2.09,-222.0,0.193,0.362,0.614,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0115594,2025-06-28 23:41:45.737408,West,SUB-019,TR-019001,22.3167,78.03,37.05,62.14,1.93,49.76,70.0,0.84,56.0,-34.28,-8.36,0.0,16.72,1,0.3935,85,Critical,Transformer Fault,2026-09-05T19:42:40.361482,batch_001,-2.95,-0.24,60.0,85.2,1.93,410.0,0.73,1.143,0.37,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
