date,total_power_mw,avg_load_percent,avg_temperature_c,total_energy_generated_mwh,total_energy_consumed_mwh,total_faults,record_count,avg_risk_score
2025-04-01,2854.47,55.0,47.68,3413.27,2221.67,80,1665,45.59
2025-04-02,2757.79,52.92,47.03,6582.72,3992.28,98,1658,43.08
2025-04-03,2935.6,54.68,47.42,2450.61,1516.66,90,1711,45.31
2025-04-04,2840.45,53.94,47.17,1477.07,2815.21,79,1672,44.11
2025-04-05,2920.68,53.52,47.18,1639.46,2694.99,97,1736,43.99
2025-04-06,2816.32,53.54,47.25,2066.14,3064.95,94,1671,44.32
2025-04-07,2839.69,53.79,47.34,15.99,2023.53,79,1671,44.33
2025-04-08,2891.57,53.64,47.13,4530.71,2443.09,83,1701,44.04
2025-04-09,2795.46,53.65,47.27,2110.73,3383.27,103,1664,44.22
2025-04-10,2988.47,54.23,47.38,953.38,4906.52,88,1751,44.74
2025-04-11,2787.5,53.64,47.1,4551.76,1361.81,89,1651,43.95
2025-04-12,2810.78,53.26,47.1,5688.31,3430.69,75,1687,43.48
2025-04-13,2901.24,54.57,47.38,5951.32,4121.09,80,1681,44.98
2025-04-14,2850.77,53.69,47.25,2341.92,3707.82,83,1689,43.9
2025-04-15,2957.67,52.73,46.91,6961.87,3241.24,74,1785,42.84
2025-04-16,2914.26,54.27,47.41,2474.67,1221.17,90,1710,44.9
2025-04-17,2864.5,54.41,47.35,2524.1,3998.68,98,1678,44.91
2025-04-18,3013.51,53.5,47.11,835.32,1282.46,83,1783,43.68
2025-04-19,2943.83,53.86,47.26,4742.6,2805.53,90,1742,44.23
2025-04-20,2838.07,53.61,47.41,4116.28,3359.61,100,1686,44.39
2025-04-21,2759.08,53.81,47.38,793.27,2923.79,86,1624,44.12
2025-04-22,2903.96,54.46,47.4,1688.31,3761.27,80,1690,44.99
2025-04-23,2865.31,53.79,47.16,-304.19,2492.79,84,1688,44.05
2025-04-24,2754.35,53.9,47.26,3818.33,3219.2,79,1634,43.94
2025-04-25,2923.65,54.41,47.54,8644.59,741.04,88,1710,44.99
2025-04-26,2926.02,54.19,47.36,6970.76,1932.45,93,1717,44.59
2025-04-27,2746.03,52.62,47.02,2560.9,2026.14,70,1660,43.15
2025-04-28,2893.97,53.82,47.34,-66.44,2777.48,89,1716,44.49
2025-04-29,2750.3,53.45,47.17,4157.94,3463.57,65,1634,43.56
