substation_id,region,total_power_mw,avg_voltage_kv,avg_load_percent,avg_temperature_c,avg_power_factor,total_energy_generated_mwh,total_energy_consumed_mwh,total_faults,transformer_count,max_risk_score,avg_risk_score,record_count
SUB-001,North,8721.49,39.97,55.63,47.87,0.88,9647.01,9629.24,283,20,100,46.91,5017
SUB-002,North,8315.83,40.02,50.93,46.1,0.9,13014.51,8909.03,202,20,100,39.85,5111
SUB-003,North,9108.15,39.98,55.54,47.87,0.88,11047.06,9724.55,295,20,100,46.95,5242
SUB-004,North,8996.66,40.0,54.32,47.49,0.89,9120.17,9345.37,298,20,100,45.04,5289
SUB-005,West,8911.55,40.01,54.75,47.7,0.88,8664.3,12201.32,318,20,100,45.9,5208
SUB-006,West,9187.13,40.03,56.49,48.22,0.88,17190.88,9219.67,330,20,100,48.48,5197
SUB-007,West,8708.93,40.04,52.19,46.59,0.9,7767.28,8717.95,225,20,100,41.96,5243
SUB-008,South,8311.64,40.01,51.3,46.27,0.9,3210.32,7897.32,218,20,100,40.32,5086
SUB-009,South,8549.02,40.03,53.16,46.97,0.89,9712.1,4962.88,228,20,100,43.33,5081
SUB-010,South,8441.94,39.96,50.86,45.93,0.9,11737.89,9926.87,196,20,100,39.91,5191
SUB-011,East,8839.37,40.01,54.21,47.45,0.89,1905.2,8832.37,255,20,100,45.06,5187
SUB-012,East,8398.91,39.98,51.55,46.27,0.9,5312.87,9957.0,186,20,100,40.59,5123
SUB-013,East,8959.45,39.98,55.53,48.13,0.88,6960.66,7327.91,334,20,100,46.92,5206
SUB-014,Central,8714.4,39.97,53.36,47.03,0.89,11486.52,7621.91,249,20,100,43.44,5176
SUB-015,Central,8691.42,40.05,52.6,46.72,0.89,1455.1,10315.81,209,20,100,42.13,5206
SUB-016,Central,8452.73,39.94,50.78,46.14,0.9,9351.2,7613.76,218,20,100,39.51,5253
SUB-017,North-East,8615.63,40.04,52.78,46.84,0.89,16868.01,7711.94,260,20,100,42.69,5167
SUB-018,North-East,8831.85,39.99,53.78,47.32,0.89,14907.66,9946.82,303,20,100,44.33,5217
SUB-019,West,8606.34,40.03,52.98,47.03,0.89,11804.95,8863.8,250,20,100,42.94,5165
SUB-020,East,8428.83,39.97,51.52,46.47,0.89,7277.08,6687.87,235,20,100,40.84,5167
SUB-021,West,8800.24,39.95,54.87,47.67,0.88,10765.57,8890.78,267,20,100,45.56,5131
SUB-022,South,8639.98,39.99,54.64,47.61,0.88,7554.15,9370.83,266,20,100,45.57,5065
SUB-023,East,8922.65,39.98,56.56,48.3,0.88,12268.57,10945.24,299,20,100,48.11,5085
SUB-024,North,8262.02,40.02,50.74,46.23,0.9,8246.95,6808.53,243,20,100,39.51,5142
SUB-025,West,9233.22,40.0,56.21,48.22,0.88,13601.66,12905.87,328,20,100,47.99,5255
SUB-026,South,9129.75,39.95,55.49,47.89,0.88,1182.23,9478.11,311,20,100,46.77,5275
SUB-027,North-East,8443.47,40.02,52.66,46.9,0.89,8139.35,8438.96,238,20,100,42.66,5082
SUB-028,Central,8944.82,40.01,55.07,47.85,0.88,10066.88,8871.17,312,20,100,46.1,5197
SUB-029,North,9122.29,39.96,56.11,48.2,0.88,7421.42,8708.02,331,20,100,47.82,5236
