transformer_id,substation_id,region,total_power_mw,avg_voltage_kv,avg_current_amp,avg_power_mw,avg_frequency_hz,avg_load_percent,avg_power_factor,avg_temperature_c,max_temperature_c,total_energy_generated_mwh,total_energy_consumed_mwh,avg_latency_ms,total_faults,max_risk_score,avg_risk_score,record_count,distinct_anomaly_types,worst_status,status,dominant_anomaly_type
TR-022018,SUB-022,South,671.41,39.9,74.27,2.27,49.98,81.83,0.77,59.75,74.82,1037.85,633.94,21.29,59,100,87.28,296,11,Critical,Critical,Compound Anomaly
TR-005004,SUB-005,West,593.19,39.71,73.27,2.22,50.05,80.7,0.77,59.41,71.15,953.46,910.4,22.41,54,100,86.49,267,11,Critical,Critical,Compound Anomaly
TR-027002,SUB-027,North-East,591.5,40.17,72.28,2.26,49.99,80.23,0.78,58.79,73.78,1556.6,703.82,20.44,55,100,85.58,262,11,Critical,Critical,Compound Anomaly
TR-029001,SUB-029,North,592.99,40.18,73.43,2.3,50.01,80.77,0.79,58.43,70.85,773.3,-179.54,21.23,44,100,84.33,258,10,Critical,High Risk,Compound Anomaly
TR-013001,SUB-013,East,591.71,40.03,73.26,2.28,49.99,79.67,0.79,58.55,70.21,383.18,916.75,22.53,49,100,84.09,259,11,Critical,High Risk,Compound Anomaly
TR-013016,SUB-013,East,590.05,40.0,72.15,2.26,50.01,79.65,0.79,58.42,74.32,128.14,105.41,20.7,53,100,84.0,261,10,Critical,High Risk,Compound Anomaly
TR-004019,SUB-004,North,580.02,40.18,70.57,2.22,50.01,77.49,0.79,57.96,70.49,793.77,1164.89,19.32,50,100,82.28,261,11,Critical,High Risk,Compound Anomaly
TR-024016,SUB-024,North,616.09,39.63,71.28,2.22,50.0,78.03,0.8,57.6,72.39,478.79,739.75,20.84,54,100,81.84,278,11,Critical,High Risk,Compound Anomaly
TR-013014,SUB-013,East,598.74,39.91,70.5,2.22,50.02,77.79,0.8,57.34,73.09,644.68,352.47,19.75,52,100,81.57,270,11,Critical,High Risk,Compound Anomaly
TR-016009,SUB-016,Central,540.06,39.86,70.99,2.22,50.01,78.45,0.8,57.67,73.06,586.82,89.63,20.58,32,100,81.51,243,11,Critical,High Risk,Compound Anomaly
TR-018008,SUB-018,North-East,619.71,39.92,71.46,2.25,50.02,78.15,0.8,57.39,74.43,982.24,57.9,20.36,55,100,81.41,275,11,Critical,High Risk,Compound Anomaly
TR-011014,SUB-011,East,631.37,40.3,71.55,2.26,50.01,78.46,0.79,57.67,76.72,-690.98,345.0,21.08,49,100,81.36,279,11,Critical,High Risk,Compound Anomaly
TR-022003,SUB-022,South,528.23,39.74,71.29,2.21,49.95,78.36,0.79,57.71,72.63,-662.68,700.56,19.32,37,100,81.32,239,11,Critical,High Risk,Compound Anomaly
TR-014020,SUB-014,Central,575.87,40.1,71.33,2.27,50.02,78.68,0.8,57.61,74.16,421.15,651.22,20.02,41,100,81.27,254,11,Critical,High Risk,Compound Anomaly
TR-028011,SUB-028,Central,575.23,40.05,70.98,2.23,50.0,77.62,0.79,57.31,73.57,2152.9,421.74,19.71,54,100,81.27,258,11,Critical,High Risk,Generation Drop
TR-028013,SUB-028,Central,545.69,39.85,70.03,2.22,50.0,77.09,0.8,56.97,70.1,1964.96,332.3,21.29,39,100,79.39,246,11,Critical,High Risk,Generation Drop
TR-025007,SUB-025,West,596.74,39.45,69.82,2.19,50.02,76.7,0.8,57.06,74.78,869.16,1291.83,19.71,46,100,79.27,273,11,Critical,High Risk,Compound Anomaly
TR-004010,SUB-004,North,529.71,39.98,69.58,2.22,50.01,76.54,0.81,56.37,74.57,-54.75,797.5,18.04,35,100,78.83,239,11,Critical,High Risk,Frequency Deviation
TR-019001,SUB-019,West,542.72,39.83,69.83,2.22,50.01,76.27,0.81,56.55,72.76,1879.44,1040.81,20.52,37,100,78.37,245,11,Critical,High Risk,Compound Anomaly
TR-019007,SUB-019,West,570.25,39.92,68.85,2.19,50.01,76.26,0.81,56.24,71.08,761.24,515.03,18.77,42,100,78.22,260,11,Critical,High Risk,Overload
TR-023013,SUB-023,East,578.53,40.14,68.77,2.18,50.01,76.03,0.8,56.4,69.95,-5.56,650.2,17.63,34,100,77.86,265,11,Critical,High Risk,Generation Drop
TR-029016,SUB-029,North,603.74,39.78,68.51,2.17,49.99,74.68,0.81,56.08,71.11,814.88,619.54,18.8,48,100,77.09,278,11,Critical,High Risk,Overload
TR-001003,SUB-001,North,546.28,40.4,67.57,2.17,49.98,74.42,0.81,55.85,80.96,768.13,631.16,18.14,43,100,76.48,252,11,Critical,High Risk,Generation Drop
TR-024002,SUB-024,North,553.44,40.04,67.52,2.15,50.01,74.83,0.81,56.03,70.67,-604.2,472.17,17.66,51,100,76.25,257,11,Critical,High Risk,Overload
TR-008005,SUB-008,South,564.72,40.16,68.08,2.21,50.01,75.1,0.82,55.63,74.55,1256.02,-55.04,18.78,35,100,76.0,256,11,Critical,High Risk,Generation Drop
TR-026004,SUB-026,South,558.35,39.96,67.22,2.14,50.0,74.22,0.81,55.93,70.2,-744.11,594.61,19.02,39,100,75.91,261,11,Critical,High Risk,Generation Drop
TR-023009,SUB-023,East,522.79,40.22,67.26,2.16,50.02,73.83,0.81,55.58,72.62,1319.36,957.14,17.23,40,100,75.74,242,11,Critical,High Risk,Generation Drop
TR-001016,SUB-001,North,537.37,40.27,67.74,2.2,50.03,74.3,0.82,55.58,71.74,-1270.94,750.83,17.62,30,100,75.52,244,11,Critical,High Risk,Overload
TR-027003,SUB-027,North-East,599.43,40.04,67.66,2.18,50.01,74.44,0.82,55.75,72.22,-352.38,721.25,17.82,36,100,75.19,275,11,Critical,High Risk,Generation Drop
TR-021011,SUB-021,West,619.82,39.89,66.91,2.14,50.0,73.97,0.82,55.6,73.63,233.7,426.69,17.7,42,100,74.58,289,11,Critical,High Risk,Overload
TR-028008,SUB-028,Central,574.37,40.27,67.3,2.19,49.99,73.93,0.82,55.5,71.94,1265.26,348.65,17.63,33,100,74.52,262,11,Critical,High Risk,Generation Drop
TR-016010,SUB-016,Central,528.28,39.66,66.62,2.14,49.99,73.07,0.82,55.43,75.19,2015.31,297.87,16.4,33,100,74.45,247,11,Critical,High Risk,Generation Drop
TR-018014,SUB-018,North-East,500.57,40.08,67.39,2.19,50.0,73.59,0.82,55.26,75.25,746.58,455.33,17.06,28,100,74.26,229,11,Critical,High Risk,Generation Drop
TR-016008,SUB-016,Central,542.85,39.93,65.83,2.13,50.0,72.77,0.82,54.89,68.79,297.63,795.71,17.16,42,100,74.04,255,11,Critical,High Risk,Generation Drop
TR-015019,SUB-015,Central,607.43,40.08,66.75,2.16,50.0,73.73,0.82,55.51,75.73,832.78,566.21,17.75,25,100,74.02,281,11,Critical,High Risk,Generation Drop
TR-020018,SUB-020,East,536.29,39.86,66.63,2.15,49.98,73.51,0.82,54.82,75.29,220.03,-63.64,17.79,31,100,73.65,250,11,Critical,High Risk,Generation Drop
TR-017013,SUB-017,North-East,530.46,39.91,65.52,2.11,50.01,72.38,0.82,55.17,71.87,657.59,1053.58,16.91,40,100,72.55,251,11,Critical,High Risk,Generation Drop
TR-018001,SUB-018,North-East,556.23,39.96,66.09,2.13,49.99,72.18,0.82,54.9,69.05,525.53,993.67,16.38,34,100,72.53,261,11,Critical,High Risk,Generation Drop
TR-021013,SUB-021,West,603.74,39.67,65.96,2.12,49.97,72.23,0.82,54.81,74.21,828.58,49.8,17.35,23,100,71.76,285,11,Critical,High Risk,Generation Drop
