event_id,timestamp,region,substation_id,transformer_id,latitude,longitude,voltage_kv,current_amp,power_mw,frequency_hz,load_percent,power_factor,temperature_c,energy_generated_mwh,energy_consumed_mwh,outage_duration_min,communication_latency_ms,fault_indicator,anomaly_score,risk_score,status,anomaly_type
EVT-0000000,2025-06-10 10:19:11.262210,North,SUB-001,TR-001001,28.6139,77.209,39.0,39.37,1.44,49.92,48.0,0.9382,41.69,45.34,17.0,0.0,1.4,0,0.0556,32,Low,Generation Drop
EVT-0000001,2025-04-21 16:17:21.498922,North,SUB-001,TR-001002,28.6139,77.209,36.74,70.88,2.34,50.19,75.05,0.9,50.0,20.5,10.6,0.0,9.56,0,0.2103,74,High Risk,Generation Drop
EVT-0000002,2025-05-04 17:05:02.022269,North,SUB-001,TR-001003,28.6139,77.209,42.72,64.22,2.3,49.74,70.0,0.84,56.0,13.12,25.26,0.0,21.01,0,0.1891,72,High Risk,Unexpected Consumption
EVT-0000003,2025-06-11 01:06:43.152778,North,SUB-001,TR-001004,28.6139,77.209,36.86,56.28,1.68,49.8,58.0,0.8079,50.0,41.26,-5.3,0.0,24.07,0,0.1965,58,Warning,Generation Drop
EVT-0000004,2025-04-22 06:55:25.579728,North,SUB-001,TR-001005,28.6139,77.209,40.62,35.64,1.36,49.97,36.69,0.9422,41.74,-31.8,-5.9,0.0,2.44,0,0.03,23,Normal,Normal
EVT-0000005,2025-04-15 16:13:03.074202,North,SUB-001,TR-001006,28.6139,77.209,40.6,36.4,1.37,49.99,48.0,0.9271,42.04,-64.83,-18.57,0.0,2.52,0,0.0251,28,Normal,Normal
EVT-0000006,2025-06-28 04:40:51.380082,North,SUB-001,TR-001007,28.6139,77.209,42.53,60.67,2.17,49.71,70.0,0.84,56.0,-70.24,3.61,0.0,8.65,0,0.1874,69,Warning,Frequency Deviation
EVT-0000007,2025-05-30 03:15:53.270218,North,SUB-001,TR-001008,28.6139,77.209,41.0,17.3,0.67,50.05,22.54,0.9504,41.3,-45.69,-7.12,0.0,12.0,0,0.05,12,Normal,Normal
EVT-0000008,2025-06-27 05:29:34.999630,North,SUB-001,TR-001009,28.6139,77.209,37.11,50.65,1.58,49.75,58.0,0.8425,50.0,-29.1,-1.23,0.0,8.28,0,0.1853,58,Warning,Frequency Deviation
EVT-0000009,2025-04-10 21:07:45.798528,North,SUB-001,TR-001010,28.6139,77.209,43.28,63.37,2.38,50.16,58.0,0.867,50.0,-38.81,19.15,0.0,5.88,0,0.1744,55,Warning,Power Factor Anomaly
EVT-0000010,2025-04-24 07:01:39.672114,North,SUB-001,TR-001011,28.6139,77.209,36.21,70.17,2.13,49.71,70.0,0.84,56.0,13.0,-6.08,42.11,21.81,0,0.2373,69,Warning,Generation Drop
EVT-0000011,2025-04-22 22:16:46.807954,North,SUB-001,TR-001012,28.6139,77.209,39.66,19.2,0.7,50.09,23.29,0.9209,37.85,0.41,-2.57,0.0,3.22,0,0.0313,7,Normal,Normal
EVT-0000012,2025-06-01 16:00:22.877755,North,SUB-001,TR-001013,28.6139,77.209,39.0,43.79,1.59,49.95,48.0,0.9289,43.53,-22.7,-4.97,0.0,9.65,0,0.0505,34,Low,Compound Anomaly
EVT-0000013,2025-04-27 01:35:54.527791,North,SUB-001,TR-001014,28.6139,77.209,37.45,62.2,1.96,50.2,70.0,0.84,57.81,-57.34,-9.86,0.0,8.89,0,0.1847,63,Warning,Power Factor Anomaly
EVT-0000014,2025-05-26 03:32:18.182656,North,SUB-001,TR-001015,28.6139,77.209,38.6,30.88,1.04,49.99,40.0,0.8733,44.0,92.83,85.03,0.0,3.81,0,0.0669,23,Normal,Normal
EVT-0000015,2025-06-23 19:23:57.321915,North,SUB-001,TR-001016,28.6139,77.209,37.77,53.5,1.82,49.84,58.0,0.9,50.0,19.32,2.88,0.0,19.15,0,0.1204,53,Warning,Generation Drop
EVT-0000016,2025-04-22 13:03:02.637826,North,SUB-001,TR-001017,28.6139,77.209,39.31,34.91,1.32,49.93,48.0,0.9594,42.55,47.62,10.41,0.0,12.0,0,0.0408,31,Low,Generation Drop
EVT-0000017,2025-05-29 11:10:59.866704,North,SUB-001,TR-001018,28.6139,77.209,36.6,67.58,2.11,50.2,84.0,0.8542,52.81,18.41,36.66,0.0,12.02,0,0.3082,78,High Risk,Overload
EVT-0000018,2025-06-02 09:39:47.793569,North,SUB-001,TR-001019,28.6139,77.209,41.0,47.78,1.85,50.07,48.0,0.9444,44.78,-13.07,3.18,0.0,11.72,0,0.0541,31,Low,Overload
EVT-0000019,2025-06-03 05:26:20.113224,North,SUB-001,TR-001020,28.6139,77.209,43.42,71.19,2.25,49.81,70.0,0.728,56.0,34.01,-11.73,0.0,55.0,0,0.2403,70,High Risk,Power Factor Anomaly
EVT-0000020,2025-05-27 01:42:20.583704,North,SUB-002,TR-002001,26.9124,75.7873,39.0,12.84,0.47,50.02,25.47,0.9438,40.08,-29.11,12.29,0.0,5.73,0,0.0437,12,Normal,Normal
EVT-0000021,2025-05-09 02:14:25.485526,North,SUB-002,TR-002002,26.9124,75.7873,43.27,57.73,2.12,50.18,58.0,0.8488,50.0,-50.91,-0.38,0.0,5.06,0,0.1837,58,Warning,Unexpected Consumption
EVT-0000022,2025-05-14 14:56:34.781603,North,SUB-002,TR-002003,26.9124,75.7873,42.37,76.9,2.79,50.24,84.0,0.8557,50.0,68.13,-29.26,0.0,14.89,0,0.2748,75,High Risk,Overload
EVT-0000023,2025-06-23 13:52:36.640860,North,SUB-002,TR-002004,26.9124,75.7873,40.05,47.44,1.79,49.97,48.0,0.9448,43.21,13.17,12.4,0.0,9.88,0,0.0076,22,Normal,Normal
EVT-0000024,2025-04-19 00:52:40.717834,North,SUB-002,TR-002005,26.9124,75.7873,37.53,67.38,1.89,49.75,70.0,0.7472,56.0,-12.45,5.85,0.0,24.96,1,0.4087,74,High Risk,Transformer Fault
EVT-0000025,2025-05-16 21:53:43.952762,North,SUB-002,TR-002006,26.9124,75.7873,39.47,25.58,0.94,49.91,18.67,0.9266,38.1,-68.22,8.79,0.0,1.97,0,0.0392,3,Normal,Normal
EVT-0000026,2025-06-04 13:43:07.599197,North,SUB-002,TR-002007,26.9124,75.7873,39.04,45.45,1.68,49.96,48.0,0.9442,41.88,67.62,-5.18,0.0,8.76,0,0.0464,30,Low,Generation Drop
EVT-0000027,2025-06-25 14:15:28.546196,North,SUB-002,TR-002008,26.9124,75.7873,41.0,39.41,1.51,50.1,48.0,0.937,42.4,18.09,1.0,0.0,2.91,0,0.06,32,Low,Generation Drop
EVT-0000028,2025-05-24 12:51:38.459185,North,SUB-002,TR-002009,26.9124,75.7873,41.0,42.21,1.59,50.07,48.0,0.9164,42.68,10.77,13.97,0.0,8.52,0,0.0533,33,Low,Unexpected Consumption
EVT-0000029,2025-05-27 23:12:39.904138,North,SUB-002,TR-002010,26.9124,75.7873,40.08,28.74,1.08,50.03,29.25,0.9401,39.65,-41.55,14.39,0.0,12.0,0,0.0103,8,Normal,Normal
EVT-0000030,2025-05-01 09:44:23.696309,North,SUB-002,TR-002011,26.9124,75.7873,39.7,40.04,1.44,49.9,48.0,0.9057,44.21,-73.76,-57.85,0.0,3.07,0,0.0321,32,Low,Unexpected Consumption
EVT-0000031,2025-04-29 07:08:23.464640,North,SUB-002,TR-002012,26.9124,75.7873,42.42,73.03,2.6,50.21,71.37,0.84,56.0,-46.04,-15.15,0.0,10.33,0,0.1774,67,Warning,Frequency Deviation
EVT-0000032,2025-04-08 06:49:39.407690,North,SUB-002,TR-002013,26.9124,75.7873,39.42,38.66,1.39,49.91,45.49,0.9092,44.0,45.25,-46.5,0.0,5.42,0,0.042,27,Normal,Normal
EVT-0000033,2025-06-09 10:10:47.933993,North,SUB-002,TR-002014,26.9124,75.7873,40.6,43.2,1.66,50.02,48.0,0.9467,42.6,-13.78,-13.41,0.0,6.33,0,0.0285,25,Normal,Normal
EVT-0000034,2025-05-19 08:36:05.637383,North,SUB-002,TR-002015,26.9124,75.7873,40.05,40.37,1.54,49.95,48.0,0.9536,43.27,28.89,5.3,0.0,1.27,0,0.011,23,Normal,Normal
EVT-0000035,2025-06-03 23:25:29.617678,North,SUB-002,TR-002016,26.9124,75.7873,42.0,31.0,1.22,49.97,40.0,0.9369,44.0,36.88,41.17,0.0,22.0,0,0.0849,30,Low,Generation Drop
EVT-0000036,2025-06-29 14:19:05.722870,North,SUB-002,TR-002017,26.9124,75.7873,39.0,34.76,1.25,49.97,48.0,0.9252,43.38,26.96,-10.3,0.0,12.0,0,0.0451,30,Low,Generation Drop
EVT-0000037,2025-06-24 03:32:53.463648,North,SUB-002,TR-002018,26.9124,75.7873,42.55,67.21,2.11,49.74,70.0,0.7383,56.0,14.09,-10.17,0.0,53.06,0,0.2165,66,Warning,Communication Failure
EVT-0000038,2025-06-01 15:11:43.771475,North,SUB-002,TR-002019,26.9124,75.7873,41.0,41.61,1.54,49.94,48.0,0.9,44.58,-95.38,-4.67,0.0,12.0,0,0.0525,34,Low,Overload
EVT-0000039,2025-04-08 17:13:42.570120,North,SUB-002,TR-002020,26.9124,75.7873,41.0,34.98,1.33,50.01,48.0,0.9289,41.95,9.49,-6.48,0.0,9.12,0,0.0421,28,Normal,Normal
EVT-0000040,2025-04-07 02:41:31.149982,North,SUB-003,TR-003001,32.3246,74.7901,40.16,9.12,0.34,50.07,15.0,0.939,35.66,-16.79,-1.29,0.0,3.59,0,0.0209,4,Normal,Normal
EVT-0000041,2025-05-19 04:31:10.925931,North,SUB-003,TR-003002,32.3246,74.7901,37.26,62.8,1.97,49.78,70.0,0.84,57.34,42.71,14.47,0.0,5.39,0,0.1927,69,Warning,Generation Drop
EVT-0000042,2025-06-11 16:05:45.540780,North,SUB-003,TR-003003,32.3246,74.7901,39.27,51.18,1.85,49.96,60.84,0.9229,44.0,-27.03,-44.55,0.0,2.13,0,0.0379,40,Low,Voltage Fluctuation
EVT-0000043,2025-05-05 23:45:26.837004,North,SUB-003,TR-003004,32.3246,74.7901,40.5,11.87,0.46,49.99,18.76,0.9573,38.63,-0.17,-3.75,0.0,1.55,0,0.0228,6,Normal,Normal
EVT-0000044,2025-06-11 00:47:20.355108,North,SUB-003,TR-003005,32.3246,74.7901,43.07,58.04,2.1,49.74,70.0,0.84,56.0,19.43,3.27,2.18,9.99,1,0.4036,80,High Risk,Frequency Deviation
EVT-0000045,2025-04-22 23:44:21.514431,North,SUB-003,TR-003006,32.3246,74.7901,36.61,51.23,1.69,49.78,58.0,0.9,50.0,-49.15,42.66,0.0,36.56,0,0.1794,60,Warning,Temperature Spike
EVT-0000046,2025-06-12 17:28:55.598058,North,SUB-003,TR-003007,32.3246,74.7901,41.18,39.37,1.51,50.06,50.35,0.93,44.0,85.52,36.09,0.0,2.11,0,0.0601,34,Low,Overload
EVT-0000047,2025-04-14 01:52:53.460109,North,SUB-003,TR-003008,32.3246,74.7901,37.79,52.95,1.8,50.15,58.0,0.9,50.0,-8.43,-19.85,0.0,6.5,0,0.1186,52,Warning,Temperature Spike
EVT-0000048,2025-05-31 09:20:53.453641,North,SUB-003,TR-003009,32.3246,74.7901,41.69,57.95,2.21,50.1,61.66,0.9142,44.0,66.47,24.21,0.0,22.0,0,0.0883,44,Low,Generation Drop
EVT-0000049,2025-04-02 03:14:03.155855,North,SUB-003,TR-003010,32.3246,74.7901,43.65,70.83,2.6,49.77,70.0,0.84,56.0,-55.64,-39.74,0.0,25.64,0,0.2196,71,High Risk,Voltage Fluctuation
EVT-0000050,2025-06-07 11:54:30.364354,North,SUB-003,TR-003011,32.3246,74.7901,36.53,74.68,2.24,49.75,84.0,0.8213,51.3,97.38,2.95,0.0,9.92,0,0.3306,79,High Risk,Overload
EVT-0000051,2025-05-26 09:29:25.643108,North,SUB-003,TR-003012,32.3246,74.7901,39.67,43.71,1.65,49.97,48.0,0.9538,42.21,18.4,10.15,0.0,3.32,0,0.0189,27,Normal,Normal
EVT-0000052,2025-04-10 00:03:03.930012,North,SUB-003,TR-003013,32.3246,74.7901,37.34,67.26,2.0,49.76,70.0,0.7971,56.0,5.05,-46.62,0.0,4.09,0,0.1976,70,High Risk,Generation Drop
EVT-0000053,2025-06-29 14:17:51.240942,North,SUB-003,TR-003014,32.3246,74.7901,37.37,74.32,2.06,49.79,84.0,0.7409,50.0,3.88,-4.18,0.0,16.41,0,0.3169,72,High Risk,Overload
EVT-0000054,2025-05-04 18:48:56.362590,North,SUB-003,TR-003015,32.3246,74.7901,41.0,37.41,1.5,49.96,40.77,0.979,40.95,-52.39,-13.53,0.0,1.75,0,0.0475,23,Normal,Normal
EVT-0000055,2025-06-04 15:10:31.160739,North,SUB-003,TR-003016,32.3246,74.7901,43.92,90.08,2.77,50.34,100.0,0.7014,63.0,96.74,-0.62,0.0,62.09,0,0.6071,99,Critical,Overload
EVT-0000056,2025-06-26 15:42:47.213615,North,SUB-003,TR-003017,32.3246,74.7901,40.53,44.69,1.69,49.93,48.0,0.9338,43.57,45.93,11.51,0.0,2.67,0,0.035,29,Normal,Normal
EVT-0000057,2025-04-18 00:55:47.290905,North,SUB-003,TR-003018,32.3246,74.7901,36.28,88.49,2.11,49.56,85.0,0.6584,63.0,1.91,10.27,0.0,9.44,0,0.5087,89,Critical,Power Factor Anomaly
EVT-0000058,2025-04-01 05:02:32.491277,North,SUB-003,TR-003019,32.3246,74.7901,36.33,72.06,1.97,49.68,85.0,0.7534,63.0,57.11,-6.27,0.0,69.58,0,0.4519,88,Critical,Voltage Fluctuation
EVT-0000059,2025-04-17 03:04:56.227787,North,SUB-003,TR-003020,32.3246,74.7901,37.75,45.34,1.57,50.03,40.0,0.9169,44.0,67.23,-0.63,0.0,2.9,0,0.0965,31,Low,Generation Drop
EVT-0000060,2025-05-09 03:45:11.668183,North,SUB-004,TR-004001,25.2048,77.3948,37.62,46.55,1.58,49.84,58.0,0.9,50.0,73.61,-8.44,0.0,25.91,1,0.3271,62,Warning,Transformer Fault
EVT-0000061,2025-04-13 14:49:16.972531,North,SUB-004,TR-004002,25.2048,77.3948,40.37,43.82,1.59,50.04,48.0,0.9,41.61,1.28,22.5,0.0,5.94,0,0.0221,27,Normal,Normal
EVT-0000062,2025-04-03 02:43:44.520216,North,SUB-004,TR-004003,25.2048,77.3948,39.5,30.23,1.14,50.05,29.41,0.9547,38.5,6.18,-14.11,0.0,4.47,0,0.0297,13,Normal,Normal
EVT-0000063,2025-06-16 17:49:01.013692,North,SUB-004,TR-004004,25.2048,77.3948,36.93,72.41,2.25,50.23,77.2,0.84,56.0,-5.55,31.33,0.0,16.78,0,0.2582,71,High Risk,Voltage Fluctuation
EVT-0000064,2025-05-01 14:06:27.928435,North,SUB-004,TR-004005,25.2048,77.3948,42.56,95.86,2.83,50.23,90.0,0.6945,56.0,-21.22,31.54,0.0,10.52,0,0.3913,84,High Risk,Power Factor Anomaly
EVT-0000065,2025-04-11 04:16:08.462393,North,SUB-004,TR-004006,25.2048,77.3948,43.1,68.5,2.48,50.26,70.0,0.84,56.0,64.45,25.08,6.87,4.71,0,0.2048,71,High Risk,Generation Drop
EVT-0000066,2025-06-15 17:21:00.047777,North,SUB-004,TR-004007,25.2048,77.3948,36.68,57.29,1.83,50.2,65.01,0.873,50.0,19.34,-21.53,0.0,33.38,0,0.1827,61,Warning,Generation Drop
EVT-0000067,2025-06-14 21:42:35.397326,North,SUB-004,TR-004008,25.2048,77.3948,38.57,36.67,1.28,49.97,40.0,0.9054,44.0,3.08,-0.5,0.0,11.29,0,0.0625,29,Normal,Normal
EVT-0000068,2025-04-19 23:06:01.525719,North,SUB-004,TR-004009,25.2048,77.3948,37.35,67.13,2.11,49.72,70.0,0.84,56.0,7.53,2.13,0.0,5.18,0,0.1899,68,Warning,Frequency Deviation
EVT-0000069,2025-05-30 16:51:54.610923,North,SUB-004,TR-004010,25.2048,77.3948,43.36,73.9,2.72,50.23,81.94,0.8475,50.53,-47.31,1.02,0.0,7.48,0,0.297,80,High Risk,Temperature Spike
EVT-0000070,2025-05-18 11:52:11.262658,North,SUB-004,TR-004011,25.2048,77.3948,40.57,46.7,1.72,50.0,48.0,0.9081,41.69,-5.41,32.36,0.0,7.49,0,0.0229,27,Normal,Normal
EVT-0000071,2025-04-20 13:56:57.451263,North,SUB-004,TR-004012,25.2048,77.3948,41.0,43.12,1.61,49.94,48.0,0.9091,41.43,-31.0,-11.88,0.0,1.89,0,0.0527,27,Normal,Normal
EVT-0000072,2025-04-25 02:20:19.686166,North,SUB-004,TR-004013,25.2048,77.3948,38.86,42.99,1.48,49.8,40.0,0.8847,44.0,-0.82,27.29,0.0,11.61,0,0.0908,28,Normal,Normal
EVT-0000073,2025-04-30 11:28:39.341919,North,SUB-004,TR-004014,25.2048,77.3948,43.77,84.67,3.01,49.76,90.0,0.8121,58.14,33.77,34.05,0.0,23.79,1,0.621,96,Critical,Overload
EVT-0000074,2025-05-28 14:47:51.496545,North,SUB-004,TR-004015,25.2048,77.3948,42.83,80.24,2.84,49.79,84.0,0.8262,53.19,0.77,37.63,0.0,28.75,0,0.297,73,High Risk,Overload
EVT-0000075,2025-05-22 04:52:34.998231,North,SUB-004,TR-004016,25.2048,77.3948,43.04,49.61,1.92,50.22,58.0,0.9,50.0,2.99,-10.07,0.0,9.41,0,0.1662,55,Warning,Generation Drop
EVT-0000076,2025-06-17 13:05:06.646027,North,SUB-004,TR-004017,25.2048,77.3948,40.23,44.48,1.67,49.92,48.0,0.9351,45.17,-20.36,-6.22,0.0,9.7,0,0.0249,26,Normal,Normal
EVT-0000077,2025-06-27 16:27:29.738276,North,SUB-004,TR-004018,25.2048,77.3948,42.72,61.7,2.37,50.16,73.35,0.9,51.13,63.9,-53.19,0.0,15.01,0,0.1691,66,Warning,Generation Drop
EVT-0000078,2025-04-26 21:07:23.746473,North,SUB-004,TR-004019,25.2048,77.3948,43.05,64.78,2.19,50.26,70.0,0.7848,56.0,50.45,8.05,0.0,12.41,0,0.2213,73,High Risk,Frequency Deviation
EVT-0000079,2025-04-09 19:26:00.021085,North,SUB-004,TR-004020,25.2048,77.3948,36.43,79.47,2.26,50.4,85.0,0.78,63.0,-24.19,-18.39,29.33,20.5,0,0.454,88,Critical,Frequency Deviation
EVT-0000080,2025-04-05 02:31:50.131550,West,SUB-005,TR-005001,19.076,72.8777,34.85,75.38,1.92,49.68,85.0,0.7291,63.0,47.64,-32.75,0.0,52.62,0,0.5194,88,Critical,Compound Anomaly
